source_id,target_id,relationship,source_url,local_path,sha256
taf-ip,max-ip,related_to,https://resdac.org/cms-data/files/taf-ip,data/raw/html/dataset_page/5a075429c574797815c4e25ee13d785ad327f696.html,9ec506c5b44945ddc80814da99171ec40401dfcb7a7cd043da44f39342a6be82
taf-ip,program_medicaid,belongs_to,https://resdac.org/cms-data/files/taf-ip?page=1,data/raw/html/dataset_page/23f761c8121bfd6102211d9258b0c2148fab83b6.html,875f0e769226d45e22f5d68b5fca4c49472879c0c9d3d531493796a78ede3752
taf-ip,max-ip,related_to,https://resdac.org/cms-data/files/taf-ip?page=1,data/raw/html/dataset_page/23f761c8121bfd6102211d9258b0c2148fab83b6.html,875f0e769226d45e22f5d68b5fca4c49472879c0c9d3d531493796a78ede3752
taf-lt,program_medicaid,belongs_to,https://resdac.org/cms-data/files/taf-lt,data/raw/html/dataset_page/c974358335ae2d04e168a9d06399d1a28835ea99.html,ee03e7abe60ebba4d77b7c962934a8dec0f2a70bef192ee94118a1ce652b56cc
taf-lt,max-lt,related_to,https://resdac.org/cms-data/files/taf-lt,data/raw/html/dataset_page/c974358335ae2d04e168a9d06399d1a28835ea99.html,ee03e7abe60ebba4d77b7c962934a8dec0f2a70bef192ee94118a1ce652b56cc
taf-lt,program_medicaid,belongs_to,https://resdac.org/cms-data/files/taf-lt?page=1,data/raw/html/dataset_page/8cb6484ad20a60abb1e2f652756c576cfbf5dba9.html,bd59f1f999cd3a2acaa71f4b1949d1175249efb9adfcc44ec33a9dc499159f52
taf-lt,max-lt,related_to,https://resdac.org/cms-data/files/taf-lt?page=1,data/raw/html/dataset_page/8cb6484ad20a60abb1e2f652756c576cfbf5dba9.html,bd59f1f999cd3a2acaa71f4b1949d1175249efb9adfcc44ec33a9dc499159f52
taf-ot,program_medicaid,belongs_to,https://resdac.org/cms-data/files/taf-ot,data/raw/html/dataset_page/e035d9a83c53da628f0acde8956ee6d584a56959.html,102cb617b0ec4ff99cbb1c2cc194d4ac854fcfb3a89cadd8b9aa857d4883a1c2
taf-ot,max-ot,related_to,https://resdac.org/cms-data/files/taf-ot,data/raw/html/dataset_page/e035d9a83c53da628f0acde8956ee6d584a56959.html,102cb617b0ec4ff99cbb1c2cc194d4ac854fcfb3a89cadd8b9aa857d4883a1c2
taf-ot,program_medicaid,belongs_to,https://resdac.org/cms-data/files/taf-ot?page=1,data/raw/html/dataset_page/e8e2904b3213cf56a2268504d89441a497e5b1cf.html,cc4cc40f893570a650888e776ed35cb14bd3cfe5329398494b72153c68c08310
taf-ot,max-ot,related_to,https://resdac.org/cms-data/files/taf-ot?page=1,data/raw/html/dataset_page/e8e2904b3213cf56a2268504d89441a497e5b1cf.html,cc4cc40f893570a650888e776ed35cb14bd3cfe5329398494b72153c68c08310
taf-rx,program_medicaid,belongs_to,https://resdac.org/cms-data/files/taf-rx,data/raw/html/dataset_page/03d1c633e688040a12e27610be256f8cc091aaf0.html,1e2e29e70cba0fda3a36bc4743265a68cb9406a82ce835baaf103ed6d69b46ce
taf-rx,max-rx,related_to,https://resdac.org/cms-data/files/taf-rx,data/raw/html/dataset_page/03d1c633e688040a12e27610be256f8cc091aaf0.html,1e2e29e70cba0fda3a36bc4743265a68cb9406a82ce835baaf103ed6d69b46ce
taf-rx,program_medicaid,belongs_to,https://resdac.org/cms-data/files/taf-rx?page=1,data/raw/html/dataset_page/4e158ec9ec730af462c8ee86fbfacdaf76bb7468.html,f55e0ab45c9ddd4e2225e066013fe3aff80cef2ea0e471e8bf78a1504419aa48
taf-rx,max-rx,related_to,https://resdac.org/cms-data/files/taf-rx?page=1,data/raw/html/dataset_page/4e158ec9ec730af462c8ee86fbfacdaf76bb7468.html,f55e0ab45c9ddd4e2225e066013fe3aff80cef2ea0e471e8bf78a1504419aa48
vm-beneficiary,program_medicare,belongs_to,https://resdac.org/cms-data/files/vm-beneficiary,data/raw/html/dataset_page/3653a61ab2265561a4d3c9f1514c804364c08c00.html,82d52261a1ee776263388aa9b7ebe82b226ce1ea97b0a51dbe8b65e2f2d2d26d
vm-beneficiary,program_medicare,belongs_to,https://resdac.org/cms-data/files/vm-beneficiary?page=1,data/raw/html/dataset_page/74b7ff42b4d90f31994ef3c216ee9fb7851c1afa.html,e61b71f97f2129c7e3844471f9ed502af1ef72e9576894d1d2078a3d94defb3e
vm-npi-practice,program_medicare,belongs_to,https://resdac.org/cms-data/files/vm-npi-practice,data/raw/html/dataset_page/01eb4fe57527d05d88b1ecd7f5129931a5bb5a3b.html,31ee646733f8820f39058cdb1f1e651f213277ca5bdf0752c6c791b61ab455d9
vm-npi-practice,program_medicare,belongs_to,https://resdac.org/cms-data/files/vm-npi-practice?page=1,data/raw/html/dataset_page/ae5d36997a900aec079861d6a07524b88ba61ff0.html,1ba3ba522b736a9e420068aa761b244514ba2c1bd93743b37763b5cebaca3f5f
vm-practice,program_medicare,belongs_to,https://resdac.org/cms-data/files/vm-practice,data/raw/html/dataset_page/34fdc792e002fce269f5f69b4a6da2e20bbfc4fa.html,abc9e4a14e49e98ebc1780fa29b95a9a5e1e575b8fff8a77a2e504d3f91e70fc
vm-practice,program_medicare,belongs_to,https://resdac.org/cms-data/files/vm-practice?page=1,data/raw/html/dataset_page/8f9b0a385f4ff82247804dc387eb5b717016df6e.html,e908e7aac3b7d98f296e2c519f515793896e6d63f9a62fd97ca885dd1a3ec9ac
