dataset_id,name,program,category,availability,source_url,local_path,sha256,extraction_notes
kcc-provider,Kidney Care Choices Model Provider,Medicare,Special Programs,2022,https://resdac.org/cms-data/files/kcc-provider,data/raw/html/dataset_page/3047d052106df32116d1fcd096c5521ac8f2e200.html,e1a6f585904bc2e7839234c7fa87faf0ea780d2af9c5207dc50c8fe92e5d906e,
lcds,Long-Term Care Hospital Continuity Assessment Record and Evaluation Data Set,Medicare,Assessment,Annual: 2014-2024Monthly*: 2025 and 2026,https://resdac.org/cms-data/files/lcds,data/raw/html/dataset_page/109fd512ef088bf16d35b6132390e9403fdb09e3.html,123074885ecf562ce0903fb2597a3e704e323f0d14318877718748a696660ad6,
max-ip,Medicaid Analytic Extract Inpatient,Medicaid,Medicaid Utilization,1999-2015,https://resdac.org/cms-data/files/max-ip?page=1,data/raw/html/dataset_page/515da00461d6442d0119c5c4c8cb1f3da0961381.html,2bf565baf3f965403f7cbef636351c1b1266d9584affe018ec9a93677d7e0a4b,
max-lt,Medicaid Analytic Extract Long Term Care,Medicaid,Medicaid Utilization,1999-2015,https://resdac.org/cms-data/files/max-lt?page=1,data/raw/html/dataset_page/e93fb78e4019c671e994a0552e88d01b076e690f.html,9648a8f86f982cc31bbc98cc4ead8e6f453feccffa7eb2d1c9acf72627dc7a1c,
max-ot,Medicaid Analytic Extract Other Services,Medicaid,Medicaid Utilization,1999-2015,https://resdac.org/cms-data/files/max-ot?page=1,data/raw/html/dataset_page/ac50f3d0b395926f11debae52a1bb6bf53dc607c.html,072035086695b2812301f570655645f0e7413e2883753639ab23a77e582ac150,
max-ps,Medicaid Analytic Extract Personal Summary,Medicaid,Beneficiary Enrollment and Summary,1999-2015,https://resdac.org/cms-data/files/max-ps?page=1,data/raw/html/dataset_page/26130b574c5882f8dec0996e1b2406b6c2f7e3b3.html,faa794fc498047509e123e2dd5c1468f6bb68043a194986f24734e510b95de68,
max-rx,Medicaid Analytic Extract Prescription Drug,Medicaid,Medicaid Utilization,1999-2015,https://resdac.org/cms-data/files/max-rx?page=1,data/raw/html/dataset_page/628d80d9571d4dee54b1868e920448bf5ba9cccf.html,0e44e5f876b7189204b7e654927f45cbddddf924502a43ef48e6474ddb8937a0,
mbisg,Medicare Bayesian Improved Surname Geocoding,Medicare,Beneficiary Enrollment and Summary,March 2023March 2024,https://resdac.org/cms-data/files/mbisg,data/raw/html/dataset_page/719d1d0b72f037784384d6658ed2c12e9fe1eaa4.html,525e74616fb4aeb7202b1ce29b0df7d48701f584ac56ad6059627a9e8ba6aeaf,
mbsf-27-cc,Master Beneficiary Summary File 27 CCW Chronic Conditions,Medicare,Beneficiary Enrollment and Summary,1999-2021,https://resdac.org/cms-data/files/mbsf-27-cc?page=1,data/raw/html/dataset_page/6699b0dfb0111bbb6b6b3146eba42feed4fe9587.html,d646f914058c3ec677e2f79ab067553173259f5d1bf3beaa7893ed52eb0bca01,
mbsf-30-cc,Master Beneficiary Summary File 30 CCW Chronic Conditions,Medicare,Beneficiary Enrollment and Summary,2017-2024,https://resdac.org/cms-data/files/mbsf-30-cc?page=1,data/raw/html/dataset_page/e1008ac596c397313ccc0e4c65931d5fbe9c0413.html,fd4bf02130f36788fb788f521d9f71e0bafe2463fbfe88b86e6e4b23f7662d79,
mbsf-base,Master Beneficiary Summary File Base A/B/C/D,Medicare,Beneficiary Enrollment and Summary,Annual: 1999-2023Quarterly: 2024 Q1-Q4,https://resdac.org/cms-data/files/mbsf-base,data/raw/html/dataset_page/bc037fe7a91d939c1551aec399d84c3e4d69bc38.html,1cdbd968550f213d4ba4c9a2f0bb9a6fc8a2a643a4e6df414206ab827b746ed2,
mbsf-base-v2,Master Beneficiary Summary File Base A/B/C/D V2,Medicare,Beneficiary Enrollment and Summary,Annual: 2023-2024Quarterly: 2025 Q1-Q3Monthly*: 2025 and 2026,https://resdac.org/cms-data/files/mbsf-base-v2?page=1,data/raw/html/dataset_page/7f6620be0130d2512c41c119d6426f5eb0feab09.html,5a780b884f1848417217608d884613a30413340320c8a69068050a7ca3691a6c,
mbsf-cc,Master Beneficiary Summary File 27 CCW Chronic Conditions,Medicare,Beneficiary Enrollment and Summary,1999-2021,https://resdac.org/cms-data/files/mbsf-cc?page=1,data/raw/html/dataset_page/565b1d48d9ee441ed1b3aede7a79e911afe92eca.html,59be07a91582d1ddd4e20d86cba737da6f64fc7c2c7bf32dba3c1caade438131,
mbsf-cost-and-use,Master Beneficiary Summary File Cost and Use,Medicare,Beneficiary Enrollment and Summary,1999-2024,https://resdac.org/cms-data/files/mbsf-cost-and-use,data/raw/html/dataset_page/7552ff2238b2b2e9031180b3717bf5761986387c.html,46037ae80d20d1f626dc8207445def89877dc69b9f8ac724a09a3582e13d201b,
mbsf-cost-and-utilization,Master Beneficiary Summary File Cost and Use,Medicare,Beneficiary Enrollment and Summary,1999-2024,https://resdac.org/cms-data/files/mbsf-cost-and-utilization,data/raw/html/dataset_page/7d330adad93c87fed02d63153399308af8edde55.html,8fa62fa0ad5d59aa07ded64b3d1439e4ed841a7c10f7d46670eb1a752c0fe39d,
mbsf-ndi,Master Beneficiary Summary File National Death Index,Medicare,Beneficiary Enrollment and Summary,1999-2024*,https://resdac.org/cms-data/files/mbsf-ndi,data/raw/html/dataset_page/3aec89abd3a41a4113f77d1663b1d6008349df8c.html,681c02d73f57c5a48188cead6cf0b80f88df661a7b385d363de5bd5e110377df,
mbsf-other-conditions,Master Beneficiary Summary File Other Chronic or Potentially Disabling Conditions,Medicare,Beneficiary Enrollment and Summary,2000-2024,https://resdac.org/cms-data/files/mbsf-other-conditions,data/raw/html/dataset_page/cb6221ac2e195081875db2207b6efc6681e56769.html,e5078e5c2f78f497c7ce9da8c5a6f96a8412ae63156d6217951dc4f17c1886c6,
md-ppas,Medicare Data on Provider Practice and Specialty,Medicare,Plan and Provider,2008-2024,https://resdac.org/cms-data/files/md-ppas,data/raw/html/dataset_page/2f231d2e4e57843df94c520b5bad73d382db2e35.html,166762adcc41e89bcefdb0752f62784b802f46875040f7ec4cca29f1306020b4,
mds-20,Long Term Care Minimum Data Set 2.0,"Medicare, Medicaid",Assessment,1999-September 2010,https://resdac.org/cms-data/files/mds-20,data/raw/html/dataset_page/eb5bab1dec92071711367036fe0fcff79255ca71.html,049a86f6ee0904c3fa24248d7b4165e3fb6d52346f0b057042282cf6ed40940d,
mds-30,Long Term Care Minimum Data Set 3.0,"Medicare, Medicaid",Assessment,Annual: October 2010-2024Monthly*: 2025 and 2026,https://resdac.org/cms-data/files/mds-30?page=1,data/raw/html/dataset_page/1ecc48c02e3b3399f1f6ee85cb1fb4a6d1708acd.html,a74d7d62addcff58924ac7493524ef4f5bca3b7ccd04a7fb77253b9f795ee74a,
mds-sb-20,Long Term Care Minimum Data Set Swing-Bed 2.0,"Medicare, Medicaid",Assessment,2002-September 2010,https://resdac.org/cms-data/files/mds-sb-20,data/raw/html/dataset_page/12c4f6ae2dbdb765b50abbe151d7bb40f8635f80.html,5504bc52c43c659f5bbdddc7ec669c1bfbc5ea1c929e89744a79a639937e8932,
mds-sb-30,Long Term Care Minimum Data Set Swing-Bed 3.0,"Medicare, Medicaid",Assessment,Annual: October 2010-2024Monthly*: 2025 and 2026,https://resdac.org/cms-data/files/mds-sb-30?page=1,data/raw/html/dataset_page/03a1170c0fe7a70db50121421af490a49f5eda59.html,066a5708ae9f10f797ac5bf3c5ef21cae1caeeec50722e545b3ac1c4f06aa027,
